clin,unspc_code,manufacturer_part_number,manufacturer,sku,description,unit_of_measure,quantity_in_uom,list_price,contract_unit_price,contract_discount,category
301-B,43211500,L6N36UP,HP,L6N36UP,"HP IDS UMA 810 G3 BNBPC, Win 10 Pro 64 w/DG Win7 64, Intel Core i5-
5300U Dual Core, Webcam Integrated 720p HD, 11.6 LED HD UWVA AG, 4GB
1600MHz DDR3L 1DM, 256GB M2 SATA-3 SSD, touchpad Backlit, No Optical
Disc Drive, 6 Cell 44 WHr Long Life,  MDC v.92 Modem, Intel 7265AN abgn
2x2 +Bluetooth 4.0 LE MOW, 3/3/3 Warranty, AMT enabled, 45W Hardware Kit,
eStar PCID Module, Touch PCID Module, Core i5 vPro-14 BLU Label, MS Win7
Logo BLU Label, HP 3y NextBusDayOnsite Notebook Only SVC",Each,1,"$3,595.00","$1,869.40",48,Core Ultralight Laptop
302,43211500,W8E26UP,HP,W8E26UP,"Powerbook 820 G3 I5,  UMA i5-6300U, Win 7 Pro 64 US, No Webcam, 12.5
inch LED HD SVA Anti-Glare (1366x768), 4GB (1x4GB) 2133 DDR4, 128GB
M2 SATA-3 Three Layer Cell Solid State Drive, No Near Field Communication,
Intel 8260 ac 2x2 +Bluetooth 4.2 LE WW, No WWAN, Fingerprint Reader, 3
Cell 44 WHr Long Life, 45 Watt Smart nPFC AC Adapter, C5 1.8m Power Cord
US, 3/3/0 Warranty US, AMT Enabled, Dual Point US, Country Localization US,
eStar Enable IOPT, 3 year Battery Warranty Card, Core i5 vPro G6 Label , HP
3year NBD Onsite NB Service Only",Each,1,"$1,698.00",$882.96,48,Core Ultralight Laptop
302,43211500,W8E26UP,HP,W8E26UP,"Powerbook 820 G3 I5,  UMA i5-6300U, Win 7 Pro 64 US, No Webcam, 12.5
inch LED HD SVA Anti-Glare (1366x768), 4GB (1x4GB) 2133 DDR4, 128GB
M2 SATA-3 Three Layer Cell Solid State Drive, No Near Field Communication,
Intel 8260 ac 2x2 +Bluetooth 4.2 LE WW, No WWAN, Fingerprint Reader, 3
Cell 44 WHr Long Life, 45 Watt Smart nPFC AC Adapter, C5 1.8m Power Cord
US, 3/3/0 Warranty US, AMT Enabled, Dual Point US, Country Localization US,
eStar Enable IOPT, 3 year Battery Warranty Card, Core i5 vPro G6 Label , HP
3year NBD Onsite NB Service Only",Each,1,"$1,698.00",$882.96,48,Core Ultralight Laptop
303,43211500,W8E27UP,HP,W8E27UP,"Powerbook 820 G3 i7, HP IDS UMA i7-6600U 820 G3 Base NB PC, Microsoft
Windows 7 Professional 64 US, No Webcam, 12.5 inch LED HD SVA Anti-
Glare (1366x768), 8 GB 2133 DDR4 (1D), 128GB M2 SATA-3 Three Layer Cell
Solid State Drive, No Near Field Communication, Intel 8260 ac 2x2 +Bluetooth
4.2 LE WW
No WWAN, Fingerprint Reader, 3 Cell 44 WHr Long Life, 45 Watt Smart nPFC
AC Adapter, C5 1.8m Power Cord US, 3/3/0 Warranty US, AMT Enabled, Dual
Point US, Country Localization US, eStar Enable IOPT, 3 year Battery Warranty
Card, Core i7 vPro G6 Label, HP 3year NBD Onsite NB Service Only",Each,1,"$2,475.00","$1,287.00",48,Core Ultralight Laptop
401,43211500,X1U91UP,HP,X1U91UP,"ZBook15 Studio Mobile Workstation Z15 G3, HP IDS DSC i7-6700HQ Studio
G3 Base NB PC, Windows 10 Pro 64 w/Downgrade Facilitation Win 7 64 US,
Win 10 Driver DVD, NVIDIA Quadro M1000M Graphics, No Webcam, 15.6 inch
LED FHD UWVA Anti-Glare (1920x1080), 16GB (2x8GB) 2133 DDR4, 256GB
Z Turbo Drive PCIe Solid State Drive, Intel 8260 ac 2x2 non vPro +Bluetooth
4.2 WW, No Fingerprint Reader, 4 Cell 64 WHr Long Life, 150 Watt Smart PFC
Slim AC Adapter, C5 1.0m Power Cord US, 3/3/3 Warranty US, NO vPro AMT
supported Module, M.2 Carrier Cage, SGX Permanent Disable IOPT, Clickpad
Backlit US
Country Localization US, 3 year Battery Warranty Card, eStar Enable IOPT,",Each,1,"$2,985.00","$1,552.20",48,Core Mobile Workstation Laptop
402,43211500,Y2P60UP,HP,Y2P60UP,"HP IDS i7-6820HQ 15 G3 Base NB PC, Windows 10 Pro 64 w/Downgrade
Facilitation Win 7 64 US, Win 10 Driver DVD, NVIDIA Quadro M1000M 2GB
GDDR5 Graphics, No Webcam, 15.6 inch LED FHD UWVA Anti-Glare slim
(1920x1080), 16GB (2x8GB) 2133 DDR4, 256GB Z Turbo Drive PCIe Solid
State Drive, WLAN I 8260 ac 2x2 +BT 4.2 Combo, No WWAN, No Fingerprint
Reader, 9 Cell 90 WHr Long Life, 150 Watt Smart PFC Slim AC Adapter, C5
1.0m Power Cord US, 3/3/3 Warranty US, AMT Enabled, Hard Drive Carrier
Cage, Dual Point Backlit US, Country Localization US, 3 year Battery Warranty
Card, eStar Enable IOPT, LBL Core i7 vPro G6 Label",each,1,"$3,075.00","$1,599.00",48,Core Mobile Workstation Laptop
1006,43211500,F2B56AA,HP,F2B56AA,External USB DVD+/-RW Drive,Each,1,$171.00,$111.15,35,Options/Upgrade Ultralight Laptop
1007,43211500,E7U25AA,HP,E7U25AA,HP SB03XL Notebook Battery,Each,1,$146.00,$94.90,35,Options/Upgrade Ultralight Laptop
1014,43211500,D9Y32AA#ABA,HP,D9Y32AA#ABA,HP UltraSlim Docking Station,Each,1,$220.00,$143.00,35,Options/Upgrade Ultralight Laptop
1032-A,43211500,H5M92AA,HP,H5M92AA,HP Business Top Load Case,Each,1,$39.00,$25.35,35,"Options/Upgrade Standard, Power Laptops"
1056,43211500,A896056,Logitech,A896056,USB Powered External Speakers Logitech: 980-000028-CA,Each,1,$25.00,$16.25,35,"Options/Upgrade Standard, Power, Mobile  Laptops"
1058,43211500,A896060,Logitech,A896060,Wireless keyboard Logitech: 920-004088-CA,Each,1,$60.00,$39.00,35,Options/Upgrade All Laptops
1059,43211500,A896059,Logitech,A896059,Logitech Headset/Headphone,Each,1,$30.00,$19.50,35,Options/Upgrade All Laptops
1061-A,43211500,A896049,HP,A896049,USB Ergonomic Keyboard,Each,1,$35.00,$22.75,35,Options/Upgrade All Laptops
1062,43211500,A896051,HP,A896051,Targus USB optical mouse,Each,1,$40.00,$26.00,35,Options/Upgrade All Laptops
1083,43211500,T1A63AA,HP,T1A63AA,HP Master Keyed Cable Lock 10mm,Each,1,$41.00,$26.65,35,"Options/Upgrade Standard, Power Laptops"
1084,43211500,L3L45AV,HP,L3L45AV,8 GB 2133 DDR4 (1D),Each,1,$123.00,$79.95,35,Options/Upgrade Ultralight Laptop 820
1085,43211500,L3M18AV,HP,L3M18AV,16 GB 2133 DDR4 (2D),Each,1,$515.00,$334.75,35,Options/Upgrade Ultralight Laptop 820
1086,43211500,L3L49AV,HP,L3L49AV,180 GB M2 SATA-3 SED OPAL2 MLC SSD,Each,1,$250.00,$162.50,35,Options/Upgrade Ultralight Laptop 820
1087,43211500,M7S15AV,HP,M7S15AV,240 GB M2 SATA-3 MLC SSD,Each,1,$485.00,$315.25,35,Options/Upgrade Ultralight Laptop 820
1088,43211500,N4P36AV,HP,N4P36AV,256 GB PCIe NVMe SSD,Each,1,$510.00,$331.50,35,Options/Upgrade Ultralight Laptop 820
1089,43211500,L9U53AV,HP,L9U53AV,Integrated HD Webcam,Each,1,$20.00,$13.00,35,Options/Upgrade Ultralight Laptop 820
1090,43211500,L3L39AV,HP,L3L39AV,"12.5"" LED HD SVA Anti-Glare enabled for Webcam (1366x768)",Each,1,$178.00,$115.70,35,Options/Upgrade Ultralight Laptop 820
1091,43211500,M2K50AV,HP,M2K50AV,Integrated Fingerprint Reader,Each,1,$7.00,$4.55,35,"Options/Upgrade Standard, Power Laptops 640"
1092,43211500,L8X75AV,HP,L8X75AV,Integrated HD Webcam,Each,1,$10.00,$6.50,35,"Options/Upgrade Standard, Power Laptops 640"
1093,43211500,L8U82AV,HP,L8U82AV,14 LED HD SVA Anti-Glare enabled for Webcam flat (1366x768),Each,1,$72.00,$46.80,35,"Options/Upgrade Standard, Power Laptops 640"
1094,43211500,D9Y32AA#ABA,HP,D9Y32AA#ABA,HP UltraSlim Docking Station,Each,1,$220.00,$143.00,35,"Options/Upgrade Standard, Power Laptops 640"
1095,43211500,L8Z30AV,HP,L8Z30AV,1TB 5400RPM 640,Each,1,$174.00,$113.10,35,"Options/Upgrade Standard, Power Laptops 640"
1096,43211500,L8Z39AV,HP,L8Z39AV,180 GB M2 SATA-3 SED OPAL2 MLC SSD,Each,1,$214.00,$139.10,35,"Options/Upgrade Standard, Power Laptops 640"
1097,43211500,L8Z96AV,HP,L8Z96AV,Blu-ray ROM DVD+/-RW SuperMulti DL Drive,Each,1,$119.00,$77.35,35,"Options/Upgrade Standard, Power Laptops 640"
1098,43211500,T5D77AV,HP,T5D77AV,240 GB M2 SATA-3 MLC SSD,Each,1,$341.00,$221.65,35,"Options/Upgrade Standard, Power Laptops 640"
1099,43211500,E7U21AA,HP,E7U21AA,HP CA06XL Long Life Battery,Each,1,$146.00,$94.90,35,"Options/Upgrade Standard, Power Laptops 640"
1100,43211500,H2L63AA,HP,H2L63AA,HP Comfort Grip Wireless Mobile Mouse,Each,1,$31.00,$20.15,35,"Options/Upgrade Standard, Power Laptops 640"
1101,43211500,M3X50AV,HP,M3X50AV,16 GB 2133 DDR4 (2D),Each,1,$287.00,$186.55,35,"Options/Upgrade Standard, Power Laptops 650"
1102,43211500,L8U71AV,HP,L8U71AV,"15.6"" LED HD SVA Anti-Glare enabled for WWAN enabled for Webcam flat",Each,1,$78.00,50.7,35,"Options/Upgrade Standard, Power Laptops 650"
1104,43211500,L9Q39AV,HP,L9Q39AV,180 GB M2 SATA-3 SED OPAL2 MLC SSD,Each,1,$214.00,$139.10,35,"Options/Upgrade Standard, Power Laptops 650"
1105,43211500,T5D78AV,HP,T5D78AV,240 GB M2 SATA-3 MLC SSD,Each,1,$341.00,$221.65,35,"Options/Upgrade Standard, Power Laptops 650"
1106,43211500,L9Q44AV,HP,L9Q44AV,512 GB M2 SATA-3 TLC SSD,Each,1,$486.00,$315.90,35,"Options/Upgrade Standard, Power Laptops 650"
1107,43211500,L9Q53AV,HP,L9Q53AV,Blu-ray ROM DVD+/-RW SuperMulti DL Drive,Each,1,$119.00,$77.35,35,"Options/Upgrade Standard, Power Laptops 650"
1108,43211500,M6W14AV,HP,M6W14AV,512GB Z Turbo Drive PCIe Solid State Drive,Each,1,$524.00,$340.60,35,Options/Upgrade Mobile Workstation Studio
1109,43211500,P2D08AV,HP,P2D08AV,1TB Z Turbo Drive PCIe Solid State Drive,Each,1,$839.00,$545.35,35,Options/Upgrade Mobile Workstation Studio
1110,43211500,M6V92AV,HP,M6V92AV,15.6 inch LED FHD UWVA Anti-Glare enabled for Webcam (1920x1080),Each,1,$320.00,$208.00,35,Options/Upgrade Mobile Workstation Studio
1111,43211500,M6W04AV,HP,M6W04AV,32GB (2x16GB) 2133 DDR4,Each,1,$840.00,$546.00,35,Options/Upgrade Mobile Workstation Studio
1112,43211500,M6W23AV,HP,M6W23AV,Fingerprint Reader,Each,1,$27.00,$17.55,35,Options/Upgrade Mobile Workstation Studio
